
変数情報		
変数	位置	ラベル
	1012	千葉県
	1013	東京都
	1015	新潟県
	1016	富山県
	1017	石川県
	1018	福井県
	1019	山梨県
	1020	長野県
	1021	岐阜県
	1022	静岡県
	1023	愛知県
	1024	三重県
	1025	滋賀県
	1026	京都府
	1027	大阪府
	1028	兵庫県
	1029	奈良県
	1030	和歌山県
	1031	鳥取県
	1032	島根県
	1033	岡山県
	1034	広島県
	1035	山口県
	1036	徳島県
	1037	香川県
	1038	愛媛県
	1039	高知県
	1040	福岡県
	1041	佐賀県
	1042	長崎県
	1043	熊本県
	1044	大分県
	1045	宮崎県
	1046	鹿児島県
	1047	沖縄県
	2001	朝鮮・韓国
	2900	国外その他
	9999	不明
q14	99	不明・無回答
q15	1	自家
	2	借家
	3	給与住宅
	4	アパート
	5	間借
	6	同居
	7	バラック
	8	壕舎
	9	その他
	99	不明・無回答
q16_1	99	不明・無回答
q16_2	99.00	不明・無回答
q17_1	1	専用
	2	共用
	9	不明・無回答
q17_2	1	専用
	2	共用
	9	不明・無回答
q18_1	88888	0・空欄
	99999	不明・無回答
q18_2	88888.00	0・空欄
	99999.00	不明・無回答
q18_3	88888	0・空欄
	99999	不明・無回答
q19	88888.00	0・空欄
	99999.00	不明・無回答
q20	1	良好
	2	普通
	3	要小修理
	4	要大修理
	5	修理不可能
	9	不明・無回答
q21_1	0	該当しない
	1	該当する
	9	無回答
q21_2	0	該当しない
	1	該当する
	9	無回答
q21_3	0	該当しない
	1	該当する
	9	無回答
q21_4	0	該当しない
	1	該当する
	9	無回答
q21_5	0	該当しない
	1	該当する
	9	無回答
q21_6	0	該当しない
	1	該当する
	9	無回答
q22	0	非該当
	1	10日未満
	2	10～30日未満
	3	30～60日未満
	4	60～90日未満
	5	90～120日未満
	6	120日以上
	9	不明・無回答
q22_1	0	回答なし
	1	在
	2	入
	9	不明・無回答
q22_2	0	回答なし
	1	在
	2	入
	9	不明・無回答
q22_3	0	回答なし
	1	在
	2	入
	9	不明・無回答
q22_4	0	回答なし
	1	在
	2	入
	9	不明・無回答
q22_5	0	回答なし
	1	在
	2	入
	9	不明・無回答
q22_6	0	回答なし
	1	在
	2	入
	9	不明・無回答
q22_7	0	回答なし
	1	在
	2	入
	9	不明・無回答
q22_8	0	回答なし
	1	在
	2	入
	9	不明・無回答
q23_1	1	毎日よむ
	2	時々よむ
	3	とってない（よまない）
	9	不明・無回答
q23_1b	0	非選択
	1	選択
	9	不明・無回答
q23_2	1	毎日きく
	2	時々きく
	3	ない
	9	不明・無回答
q23_2b	0	非選択
	1	選択
	9	不明・無回答
q23_3	1	毎週１冊よむ
	2	時々よむ
	3	買わない
	9	不明・無回答
q23_3b	0	非選択
	1	選択
	9	不明・無回答
q23_4	1	毎週１冊よむ
	2	時々よむ
	3	買わない
	9	不明・無回答
q23_4b	0	非選択
	1	選択
	9	不明・無回答
q23_5	1	毎日みる
	2	時々みる
	3	ない
	9	不明・無回答
q23_5b	0	非選択
	1	選択
	9	不明・無回答
q23_6	1	有料でみる
	2	無料でみる
	3	みない
	9	不明・無回答
q24_1	1	月に1回程度
	2	3月に1回程度
	3	6月に1回程度
	4	1年に1回程度
	5	2年に1回程度
	6	最近3年間1度もない
	9	不明・無回答
q24_2	1	月に1回程度
	2	3月に1回程度
	3	6月に1回程度
	4	1年に1回程度
	5	2年に1回程度
	6	最近3年間1度もない
	9	不明・無回答
q24_3	1	月に1回程度
	2	3月に1回程度
	3	6月に1回程度
	4	1年に1回程度
	5	2年に1回程度
	6	最近3年間1度もない
	9	不明・無回答
q25_1	0	加入していない
	1	加入している
	9	不明・無回答
q25_2	0	加入していない
	1	加入している
	9	不明・無回答
q25_3	0	加入していない
	1	加入している
	9	不明・無回答
q25_4	0	加入していない
	1	加入している
	9	不明・無回答
q25_5	0	加入していない
	1	加入している
	9	不明・無回答
q25_6	0	加入していない
	1	加入している
	9	不明・無回答
q25_7	0	加入していない
	1	加入している
	9	不明・無回答
q25_8	0	加入していない
	1	加入している
	9	不明・無回答
q25_9	0	加入していない
	1	加入している
	9	不明・無回答
q25_10	0	加入していない
	1	加入している
	9	不明・無回答
q25_11	0	加入していない
	1	加入している
	9	不明・無回答
q25_12	0	加入していない
	1	加入している
	9	不明・無回答
q26_1	0	所有していない
	1	所有している
	9	不明・無回答
q26_2	0	所有していない
	1	所有している
	9	不明・無回答
q26_3	0	所有していない
	1	所有している
	9	不明・無回答
q26_4	0	所有していない
	1	所有している
	9	不明・無回答
q26_5	0	所有していない
	1	所有している
	9	不明・無回答
q26_6	0	所有していない
	1	所有している
	9	不明・無回答
q26_7	0	所有していない
	1	所有している
	9	不明・無回答
q26_8	0	所有していない
	1	所有している
	9	不明・無回答
q26_9	0	所有していない
	1	所有している
	9	不明・無回答
q27_a1	0	非選択
	1	選択
	99	不明
	8888	非該当
q27_a2	0	非選択
	1	選択
	99	不明
	8888	非該当
q27_a3	0	非選択
	1	選択
	99	不明
	8888	非該当
q27_a4	0	非選択
	1	選択
	99	不明
	8888	非該当
q27_b1	0	非選択
	1	選択
	99	不明
	8888	非該当
q27_b2	0	非選択
	1	選択
	99	不明
	8888	非該当
q27_b3	0	非選択
	1	選択
	99	不明
	8888	非該当
q27_b4	0	非選択
	1	選択
	99	不明
	8888	非該当
q28_1	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_2	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_3	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_4	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_5	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_6	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_7	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_8	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_9	0	非選択
	1	選択
	8	非該当
	9	無回答
q28_10	0	非選択
	1	選択
	8	非該当
	9	無回答
q29_1	0	非選択
	1	選択
	9	不明・無回答
q29_2	0	非選択
	1	選択
	9	不明・無回答
q29_3	0	非選択
	1	選択
	9	不明・無回答
q29_4	0	非選択
	1	選択
	9	不明・無回答
q29_5	0	非選択
	1	選択
	9	不明・無回答
q29_6	0	非選択
	1	選択
	9	不明・無回答
q30_1	0	非選択
	1	選択
	9	不明・無回答
q30_2	0	非選択
	1	選択
	9	不明・無回答
q30_3	0	非選択
	1	選択
	9	不明・無回答
q30_4	0	非選択
	1	選択
	9	不明・無回答
q30_5	0	非選択
	1	選択
	9	不明・無回答
q30_6	0	非選択
	1	選択
	9	不明・無回答
q30_7	0	非選択
	1	選択
	9	不明・無回答
q30_8	0	非選択
	1	選択
	9	不明・無回答

